User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4174,58.93977586,98.80965025,5450.390578,7.167235622,Highly Active,1
,,98.53219516,727.60161,6.538239376,Highly_Active,5
1860,247.8030523,97.05295352,2826.521994,ERROR,Highly Active,5
2294,40,96.89421335,13797.33804,7.36778963,Actve,3
2130,61.95016529,98.58379676,15679.06765,,Highly_Active,6
2095,96.28593769,94.20290978,10205.99226,8.378342674,Highly_Active,10
4772,47.2722567,95.38976001,3208.781177,7.871146009,Seddentary,2
4092,81.73349679,95.98134261,6051.249857,5.224139066,Sedentary,1
3979,93.34033768,97.21894485,1775.029578,5.468413771,Seddentary,1
3169,51.40996728,97.27278687,7940.021452,7.954498991,Seddentary,8
1466,101.9149381,,2987.56864,7.541956463,Sedentary,9
2238,73.85294067,95.39944002,1748.197069,4.830161672,Actve,1
1330,95.37229037,99.15265159,6155.837342,5.814348466,Highly_Active,10
2482,79.06263167,99.01491346,829.9256233,6.269060283,Sedentary,
3135,68.09020293,99.72973954,8124.135791,6.444869605,Highly_Active,5
4444,40,99.04772547,1449.215895,6.392173806,Active,2
4171,58.2779627,97.78972645,5643.511358,7.848859016,Seddentary,10
3919,,96.05285348,3488.919508,6.718661173,Seddentary,4
4735,98.05924946,96.02709913,5846.923275,6.621126996,Seddentary,9
,53.93020624,96.30256923,1976.186392,5.364849153,Highly_Active,5
2685,74.10500253,99.64606451,2601.396495,6.75133332,Highly Active,9
4380,68.31010413,,1058.374274,6.456918401,Actve,3
1769,81.26723473,96.06816146,10503.00624,5.780212383,Actve,
3391,76.3255203,98.75711035,508.8380975,4.773999479,Seddentary,Very High
2515,69.42479492,99.25495076,3306.110412,8.415421613,Highly Active,1
4485,84.58662488,99.02468691,4173.373029,9.169583797,Seddentary,9
3853,64.62704386,99.78959924,1520.184387,6.866753233,Seddentary,2
3433,75.16860351,98.10010128,3400.90098,8.651900419,Sedentary,10
2215,86.55159868,97.47263459,3790.054978,6.844302019,Seddentary,1
1955,64.10446781,98.14712188,1778.200277,4.41970849,Sedentary,7
3324,69.61567441,100,7137.10199,6.950441084,Seddentary,2
2184,66.62971237,99.51747431,219.3800918,5.990742778,Sedentary,6
1459,81.78254065,98.18899114,1540.728037,7.213770684,Highly Active,10
4385,80.24336481,100,6848.558834,,Sedentary,6
1021,67.22783219,100,6913.143376,5.739947279,Active,10
3300,80.11309121,100,2157.694847,7.081258686,Highly Active,4
1747,40,100,8043.061917,7.791685705,Actve,5
3904,87.52908612,100,4441.359228,8.531278991,Sedentary,5
4632,88.4355195,100,5244.270581,7.97865596,Sedentary,6
1474,67.4042823,92.6556727,2830.668684,4.827592494,Sedentary,7
2082,64.42024701,98.42435021,29066.33209,4.825839793,Highly_Active,3
3558,74.13714735,95.06438019,9359.522744,7.647390483,Actve,4
4753,61.34892365,100,1999.135554,5.92306799,Highly_Active,2
3047,63.6801755,97.37429828,1889.475271,5.02421458,Actve,2
4547,79.61779162,98.89437303,10415.91771,8.282513944,Seddentary,Very High
